-90.0, 50.0
-90.0, 60.0
-90.0, 70.0
-90.0, 80.0
-90.0, 90.0
-80.0, 20.0
-80.0, 30.0
-80.0, 40.0
-80.0, 50.0
-80.0, 60.0
-80.0, 70.0
-80.0, 80.0
-80.0, 90.0
-70.0, 0.0
-70.0, 10.0
-70.0, 20.0
-70.0, 30.0
-70.0, 40.0
-70.0, 50.0
-70.0, 60.0
-70.0, 70.0
-70.0, 80.0
-70.0, 90.0
-60.0, -20.0
-60.0, -10.0
-60.0, 0.0
-60.0, 10.0
-60.0, 20.0
-60.0, 30.0
-60.0, 40.0
-60.0, 50.0
-60.0, 60.0
-60.0, 70.0
-60.0, 80.0
-60.0, 90.0
-50.0, -30.0
-50.0, -20.0
-50.0, -10.0
-50.0, 0.0
-50.0, 10.0
-50.0, 20.0
-50.0, 30.0
-50.0, 40.0
-50.0, 50.0
-50.0, 60.0
-50.0, 70.0
-50.0, 80.0
-50.0, 90.0
-50.0, 100.0
-40.0, -40.0
-40.0, -30.0
-40.0, -20.0
-40.0, -10.0
-40.0, 0.0
-40.0, 10.0
-40.0, 20.0
-40.0, 30.0
-40.0, 40.0
-40.0, 50.0
-40.0, 60.0
-40.0, 70.0
-40.0, 80.0
-40.0, 90.0
-40.0, 100.0
-30.0, -50.0
-30.0, -40.0
-30.0, -30.0
-30.0, -20.0
-30.0, -10.0
-30.0, 0.0
-30.0, 10.0
-30.0, 20.0
-30.0, 30.0
-30.0, 40.0
-30.0, 50.0
-30.0, 60.0
-30.0, 70.0
-30.0, 80.0
-30.0, 90.0
-30.0, 100.0
-20.0, -50.0
-20.0, -40.0
-20.0, -30.0
-20.0, -20.0
-20.0, -10.0
-20.0, 0.0
-20.0, 10.0
-20.0, 20.0
-20.0, 30.0
-20.0, 40.0
-20.0, 50.0
-20.0, 60.0
-20.0, 70.0
-20.0, 80.0
-20.0, 90.0
-20.0, 100.0
-10.0, -60.0
-10.0, -50.0
-10.0, -40.0
-10.0, -30.0
-10.0, -20.0
-10.0, -10.0
-10.0, 0.0
-10.0, 10.0
-10.0, 20.0
-10.0, 30.0
-10.0, 40.0
-10.0, 50.0
-10.0, 60.0
-10.0, 70.0
-10.0, 80.0
-10.0, 90.0
-10.0, 100.0
0.0, -70.0
0.0, -60.0
0.0, -50.0
0.0, -40.0
0.0, -30.0
0.0, -20.0
0.0, -10.0
0.0, 0.0
0.0, 10.0
0.0, 20.0
0.0, 30.0
0.0, 40.0
0.0, 50.0
0.0, 60.0
0.0, 70.0
0.0, 80.0
0.0, 90.0
0.0, 100.0
10.0, -80.0
10.0, -70.0
10.0, -60.0
10.0, -50.0
10.0, -40.0
10.0, -30.0
10.0, -20.0
10.0, -10.0
10.0, 0.0
10.0, 10.0
10.0, 20.0
10.0, 30.0
10.0, 40.0
10.0, 50.0
10.0, 60.0
10.0, 70.0
10.0, 80.0
10.0, 90.0
20.0, -80.0
20.0, -70.0
20.0, -60.0
20.0, -50.0
20.0, -40.0
20.0, -30.0
20.0, -20.0
20.0, -10.0
20.0, 0.0
20.0, 10.0
20.0, 20.0
20.0, 30.0
20.0, 40.0
20.0, 50.0
20.0, 60.0
20.0, 70.0
20.0, 80.0
20.0, 90.0
30.0, -90.0
30.0, -80.0
30.0, -70.0
30.0, -60.0
30.0, -50.0
30.0, -40.0
